@RELATION p2_pln
@ATTRIBUTE number REAL
@ATTRIBUTE gender {female,male}
0.0289,female
0.0586,female
0.0753,female
0.0478,female
0.043,female
0.0751,female
0.0227,male
0.0365,male
0.0552,male
0.064,female
0.0386,male
0.048,female
0.042,female
0.0705,female
0.0421,male
0.0506,female
0.0506,male
0.0362,male
0.0318,male
0.0342,male
0.0276,male
0.0649,male
0.0451,female
0.0427,female
0.0289,male
0.047,male
0.06,female
0.066,female
0.0892,male
0.0522,male
0.0593,male
0.0455,female
0.0636,female
0.0489,female
0.0601,male
0.0381,female
0.0472,male
0.041,female
0.0923,male
0.0598,male
0.0351,male
0.0308,male
0.0405,female
0.0497,female
0.051,male
0.0538,female
0.05,female
0.0833,female
0.051,male
0.0632,male
0.0447,female
0.0517,female
0.0788,female
0.0424,female
0.0642,male
0.0459,male
0.0419,male
0.0588,male
0.0532,female
0.0713,female
0.0763,female
0.0417,female
0.0913,female
0.0372,female
0.0304,male
0.0409,male
0.0563,male
0.0496,male
0.0659,female
0.0605,female
0.0778,female
0.0557,male
0.0678,male
0.0513,female
0.0702,female
0.0592,female
0.0343,male
0.0217,male
0.0244,female
0.0447,female
0.0357,male
0.0645,female
0.0761,female
0.0458,male
0.0385,male
0.0965,female
0.0679,male
0.076,female
0.0717,female
0.0563,female
0.062,female
0.0429,male
0.0621,female
0.0675,female
0.0381,male
0.0452,female
0.0872,male
0.0313,female
0.0635,female
0.0729,female
0.0524,female
0.0471,female
0.0526,male
0.0202,female
0.0657,female
0.0346,male
0.0505,female
0.0671,male
0.0631,male
0.0511,female
0.0618,male
0.0564,male
0.0645,female
0.0463,female
0.0584,female
0.0792,female
0.0815,female
0.0329,male
0.0778,female
0.0603,male
0.0519,male
0.0601,female
0.0438,female
0.0594,male
0.043,female
0.0531,male
0.0686,female
0.0452,female
0.0724,male
0.0438,male
0.0457,female
0.0357,female
0.0543,female
0.0598,male
0.0558,female
0.0744,male
0.0584,female
0.0483,male
0.0401,male
0.0504,female
0.0436,male
0.0402,male
0.0415,male
0.0809,male
0.0393,female
0.0684,female
0.0445,male
0.0614,male
0.0479,male
0.0514,male
0.0673,male
0.0522,female
0.044,female
0.0396,male
0.0467,female
0.0609,female
0.0498,female
0.0614,male
0.057,female
0.0324,male
0.0519,male
0.0455,male
0.0573,female
0.0479,female
0.0609,male
0.0553,female
0.0395,male
0.0491,male
0.0581,female
0.0549,male
0.0561,male
0.078,male
0.0488,female
0.049,female
0.0519,female
0.0752,female
0.0748,male
0.0787,male
0.0502,male
0.0567,female
0.0382,female
0.0707,female
0.0594,male
0.0683,male
0.0417,female
0.0406,male
0.0629,female
0.0773,male
0.0634,female
0.042,female
0.0322,male
0.0397,female
0.0609,female
0.054,male
0.053,female
0.0634,female
0.0295,female
0.0613,female
0.0769,male
0.058,male
0.0696,male
0.0637,female
0.0582,male
0.0743,male
0.0516,male
0.045,male
0.0602,male
0.0579,female
0.0647,male
0.0631,female
0.0498,male
0.0769,female
0.0478,female
0.0436,male
0.0749,female
0.0529,male
0.0453,female
0.0337,female
0.0343,male
0.0643,female
0.0662,female
0.0549,male
0.0397,male
0.0507,female
0.0649,male
0.0595,male
0.0373,female
0.0421,female
0.0499,female
0.0657,male
0.0403,female
0.0506,male
0.0833,female
0.058,female
0.0402,female
0.0598,male
0.0391,female
0.0699,male
0.0317,male
0.064,male
0.0393,male
0.0351,male
0.041,male
0.0465,male
0.0345,male
0.063,female
0.0571,male
0.0506,male
0.0472,male
0.0673,male
0.061,male
0.0404,male
0.0408,female
0.0529,male
0.0457,male
0.0581,female
0.0557,female
0.0367,female
0.0563,male
0.0281,male
0.0476,female
0.0498,male
0.0581,male
0.0374,female
0.0391,male
0.0461,male
0.0586,female
0.0701,male
0.0487,male
0.0469,male
0.0316,male
0.0312,female
0.0446,female
0.0583,male
0.0341,male
0.0795,female
0.0486,male
0.0782,female
0.0423,male
0.0521,male
0.0825,male
0.0632,male
0.0462,male
0.0301,male
0.0353,male
0.0577,female
0.0526,male
0.0631,male
0.0588,male
0.0595,male
0.0739,female
0.0403,male
0.0502,female
0.0569,female
0.0433,male
0.0772,female
0.0623,male
0.0606,male
0.0494,female
0.0452,female
0.0493,male
0.0295,male
0.0687,female
0.0624,female
0.0722,female
0.0561,male
0.0292,male
0.0444,female
0.0445,female
0.0369,male
0.0401,male
0.0656,female
0.0468,male
0.075,female
0.0885,male
0.0546,female
0.0644,female
0.0527,male
0.051,female
0.0474,female
0.0445,female
0.0332,male
0.0455,female
0.0766,male
0.0665,male
0.0399,male
0.0638,male
0.0423,male
0.0259,male
0.04,male
0.0345,male
0.0744,female
0.0496,male
0.0403,male
0.0574,female
0.0693,male
0.0449,female
0.0469,male
0.0512,male
0.046,female
0.0402,male
0.0223,female
0.0521,female
0.0617,male
0.0281,male
0.0392,female
0.0407,female
0.0457,male
0.0681,female
0.035,female
0.0362,male
0.0563,female
0.0686,female
0.0579,female
0.0636,female
0.0501,female
0.0748,female
0.0714,female
0.0736,male
0.0346,male
0.0585,female
0.06,male
0.0538,female
0.056,male
0.0485,female
0.0198,female
0.046,female
0.0495,female
0.0381,male
0.0427,male
0.0237,male
0.0952,male
0.0606,female
0.0617,female
0.0562,male
0.0673,male
0.0744,female
0.0686,female
0.0642,female
0.0504,male
0.031,male
0.066,male
0.0629,female
0.0444,female
0.067,female
0.0536,female
0.0656,female
0.0619,female
0.0591,female
0.0582,female
0.0504,male
0.0369,female
0.0329,male
0.0458,male
0.0628,female
0.0646,female
0.0626,male
0.0545,male
0.0503,female
0.0523,female
0.0581,male
0.0456,male
0.0483,male
0.0383,male
0.0441,male
0.0641,female
0.0569,male
0.0395,male
0.0709,female
0.0434,male
0.0437,female
0.0344,female
0.0845,female
0.041,male
0.0503,male
0.0401,male
0.0851,male
0.0442,female
0.0592,female
0.0384,male
0.0671,male
0.0727,male
0.0777,male
0.0438,male
0.0447,male
0.0557,male
0.0349,female
0.059,female
0.0404,female
0.0469,male
0.0552,female
0.0389,female
0.0338,female
0.0316,male
0.0758,female
0.0564,female
0.0631,male
0.0357,male
0.033,female
0.0389,male
0.0513,male
0.0729,female
0.0563,female
0.0648,female
0.0384,female
0.0629,female
0.0564,female
0.0339,male
0.05,female
0.0481,female
0.044,female
0.0406,male
0.0214,female
0.0508,female
0.0672,male
0.0477,female
0.0514,female
0.0402,female
0.0607,female
0.0554,female
0.0485,female
0.0684,female
0.0619,female
0.049,male
0.0426,female
0.0453,female
0.0519,female
0.0582,female
0.0556,male
0.0405,female
0.0372,male
0.0383,male
0.0631,female
0.0615,male
0.0407,female
0.0358,female
0.0406,male
0.0756,male
0.0631,female
0.0488,female
0.0598,female
0.0278,male
0.0474,male
0.0755,male
0.028,male
0.0376,male
0.0332,male
0.0362,female
0.0484,female
0.0359,male
0.0562,male
0.0391,male
0.0576,male
0.0563,female
0.0497,female
0.0323,female
0.0359,male
0.0316,male
0.0581,male
0.0602,female
0.041,male
0.0285,female
0.0219,male
0.0524,male
0.0323,male
0.0629,female
0.0639,female
0.0479,female
0.0462,male
0.0884,male
0.0303,male
0.0505,female
0.0346,male
0.051,male
0.0727,male
0.0682,male
0.0664,female
0.0428,male
0.0726,male
0.0878,female
0.0336,male
0.0516,male
0.0805,male
0.0485,male
0.0554,male
0.043,female
0.064,male
0.0695,male
0.0792,female
0.0677,male
0.0237,male
0.0557,female
0.0498,male
0.0542,male
0.0566,female
0.048,male
0.0303,male
0.0317,female
0.0642,female
0.0674,male
0.0519,female
0.0239,male
0.0489,female
0.0624,female
0.0708,female
0.0706,female
0.0489,female
0.0626,female
0.0656,female
0.0401,female
0.0401,female
0.0429,female
0.042,female
0.0452,male
0.0655,female
0.0486,female
0.0354,female
0.0333,male
0.0425,female
0.0479,female
0.0176,male
0.0265,female
0.0551,female
0.0327,male
0.0713,female
0.0792,male
0.0371,female
0.0278,male
0.0557,male
0.0436,male
0.0511,male
0.0451,female
0.0791,male
0.0642,male
0.0637,male
0.048,male
0.0532,male
0.0431,male
0.0754,female
0.0418,male
0.067,male
0.0523,male
0.0815,female
0.0543,female
0.0711,female
0.0538,male
0.0873,male
0.0552,male
0.0643,male
0.0326,male
0.0618,female
0.0568,female
0.0556,male
0.0336,male
0.0584,male
0.0546,female
0.069,female
0.0544,female
0.0621,female
0.0544,male
0.0429,female
0.0473,male
0.0318,female
0.0714,female
0.0482,male
0.0423,male
0.0526,female
0.0829,male
0.0546,female
0.0538,male
0.0523,female
0.0171,female
0.0,female
0.0296,male
0.0565,female
0.0362,male
0.0317,female
0.0566,female
0.0646,female
0.0499,female
0.0483,female
0.0394,female
0.0769,male
0.0596,female
0.0309,male
0.0402,male
0.0703,female
0.0472,female
0.0425,male
0.0423,male
0.0605,male
0.0583,male
0.0469,female
0.0344,male
0.0455,male
0.0756,male
0.0466,female
0.0513,male
0.0399,female
0.0638,male
0.0426,female
0.0548,female
0.0528,female
0.0261,female
0.0681,female
0.0353,male
0.0353,male
0.0743,male
0.0339,female
0.067,male
0.0314,male
0.0355,female
0.044,male
0.0583,female
0.0539,male
0.0423,male
0.0429,male
0.046,male
0.0437,male
0.0415,male
0.0497,female
0.0702,female
0.063,male
0.055,female
0.0423,female
0.0524,male
0.0559,male
0.0684,female
0.0397,female
0.031,male
0.0554,female
0.0703,male
0.0412,male
0.0649,female
0.0481,male
0.0476,female
0.0674,female
0.0504,female
0.0563,male
0.0543,male
0.0364,male
0.04,male
0.0815,female
0.0742,female
0.0646,male
0.0596,male
0.0527,male
0.0402,female
0.031,male
0.0663,female
0.0348,male
0.0498,male
0.0546,male
0.051,female
0.0457,male
0.0326,male
0.0599,female
0.0472,female
0.0679,female
0.0573,female
0.0769,female
0.0335,female
0.042,female
0.0791,male
0.0556,female
0.0374,female
0.0501,male
0.0633,female
0.042,female
0.0626,female
0.0687,male
0.0731,male
0.0497,female
0.0565,female
0.0738,male
0.0724,male
0.0477,male
0.0568,female
0.0556,male
0.0639,female
0.0551,female
0.0538,female
0.0479,female
0.0529,male
0.0373,male
0.0312,female
0.0416,male
0.0403,female
0.041,female
0.0416,male
0.0531,female
0.0436,female
0.0436,male
0.0456,female
0.0407,male
0.0288,male
0.0551,female
0.0671,male
0.05,male
0.0604,female
0.0665,male
0.0412,female
0.0367,male
0.0574,female
0.0591,female
0.0477,male
0.085,male
0.0417,female
0.058,male
0.0382,female
0.0415,male
0.0422,female
0.0405,female
0.0628,male
0.065,female
0.0423,female
0.065,female
0.0593,female
0.0541,male
0.0766,male
0.0552,male
0.0376,female
0.0546,male
0.0295,female
0.0314,male
0.0396,female
0.0693,male
0.0413,male
0.0542,male
0.0359,male
0.0543,female
0.0495,female
0.0441,female
0.0571,female
0.0654,female
0.0577,male
0.0569,male
0.0507,male
0.0612,male
0.059,female
0.0636,female
0.0429,female
0.034,male
0.0459,male
0.0671,male
0.0502,female
0.0421,female
0.0461,male
0.0587,male
0.0201,female
0.0376,male
0.0449,male
0.046,male
0.045,male
0.0493,female
0.0458,male
0.0495,female
0.0391,male
0.0381,male
0.0578,male
0.0529,female
0.0583,female
0.046,male
0.042,female
0.0401,female
0.0632,female
0.0579,female
0.036,female
0.0623,male
0.0435,female
0.0513,female
0.0505,female
0.0497,male
0.0634,female
0.0221,female
0.0699,female
0.0509,female
0.0744,male
0.0468,female
0.0512,female
0.0729,female
0.0628,female
0.0572,female
0.0604,female
0.093,male
0.051,male
0.0523,male
0.0476,male
0.0759,female
0.0395,male
0.063,male
0.0623,female
0.0788,male
0.0421,female
0.0461,female
0.0758,male
0.0513,female
0.0776,female
0.0579,female
0.0448,female
0.0305,male
0.0524,female
